Chinese,English
狮子,Lion
狼,Wolf
鼠,Mouse
牛,Ox
虎,Tiger
兔,Rabbit
龍,Dragon
蛇,Snake
马,Horse
羊,Sheep
猴子,Monkey
鸡,Chicken
狗,Dog
猪,Pig
猫,Cat
