Swedish,English
björn,bear
utter,otter
räv,fox
ko,cow
katt,cat
lodjur,lynx
älg,moose
mård,marten
åkermus,field mouse
lämmel,lemming
örn,eagle
kråka,crow
skata,magpie
duva,dove
hund,dog
hamster,hamster
