Chinese,English
猪,pig
牛,cow
羊,sheep
鸡,chicken
狗,dog
鸭,duck
猴,monkey
马,horse
兔,rabbit
猫,cat
鹰,eagle
狮子,lion
老虎,tiger
大象,elephant
鹅,goose
