Chinese,English
大象,elephant
长颈鹿,giraffe
狮子,lion
虎,tiger
水牛,buffalo
犀牛,rhinoceros
斑马,zebra
鸸鹋,emu
鸵鸟,ostrich
蜥蜴,lizard
蛇,snake
猪,pig
狗,dog
羊,sheep
猫,cat
