Chinese,English
猴,monkey
鸡,chicken
熊猫,panda
猫,cat
鸭,duck
狗,dog
水豚,capybara
鲸鱼,whale
海豚,dolphin
螃蟹,crab
天鹅,swan
乌鸦,crow
狐狸,fox
土拨鼠,marmot
猩猩,gorilla
