Chinese,English
牛,cow
羊,sheep
马,horse
驴,donkey
大象,elephant
长颈鹿,giraffe
鹿,deer
豹子,leopard
猪,pig
麻雀,sparrow
燕子,swallow
企鹅,penguin
螃蟹,crab
