Swedish,English
Katt,Cat
Hund,Dog
Höna,Hen
Räv,Fox
Val,Whale
Säl,Seal
Murmeldjur,Marmot
Lemur,Lemur
Surikat,Meerkat
Uggla,Owl
Mård,Pine marten
Ekorre,Squirrel
Valross,Walrus
Pingvin,Penguin
Ko,Cow
Häst,Horse
