Swedish,English
Hund,Dog
Katt,Cat
Häst,Horse
Tiger,Tiger
Lejon,Lion
Noshörning,Rhinoceros
Elefant,Elephant
Marsvin,Guinea Pig
Råtta,Rat
Mus,Mouse
Iller,Polecat
Utter,Otter
Bäver,Beaver
Papegoja,Parrot
Fågel,Bird
