Chinese,English
猫,cat
狗,dog
狮子,lion
老虎,tiger
蛇,snake
兔子,rabbit
鸟,bird
驴,donkey
蟑螂,cockroach
蜘蛛,spider
壁虎,gecko
蚕,silkworm
蝉,cicada
蛾子,moth
蝴蝶,butterfly
