Swedish,English
Hund,Dog
Katt,Cat
Mus,Mouse
Dinosaurier,Dinosaur
Tiger,Tiger
Lejon,Lion
Fästing,Tick
Papegoja,Parrot
Fågel,Bird
Orm,Snake
Fisk,Fish
Insekter,Insect
Maskar,Worm
Parasiter,Parasite
Mal,Moth
