Chinese,English
狼,wolf
松鼠,squirrel
刺猬,hedgehog
猫,cat
狗,dog
喜鹊,magpie
海鸥,seagull
麻雀,sparrow
企鹅,penguin
北极熊,polar bear
熊,deer
蛇,snake
狐狸,fox
天鹅,swan
蜥蜴,lizard
