Chinese,English
老鼠,Mouse
牛,Ox
马,Horse
蛇,Snake
猪,Pig
羊,Sheep
鸡,Chicken
猴子,Monkey
兔子,Rabbit
鸭,Duck
老虎,Tiger
猫,Cat
狗,Dog
马,Horse
驴,Donkey
