Chinese,English
猴子,monkey
熊猫,panda
鸽子,pigeon
鹦鹉,parrot
猫头鹰,owl
蝙蝠,bat
鸡,chicken
鸭,duck
鹅,goose
驴,donkey
马,horse
狮子,lion
海豚,dolphin
鲸鱼,whale
狗,dog
