Swedish,English
Leopard,Leopard
Giraff,Girafe
Elefant,Elephant
Ödla,Lizard
Noshörning,Rhinoceros
Trana,Crane
Flamingo,Flamingo
Orm,Snake
Räv,Fox
Val,Whale
Lodjur,Lynx
Tjur,Bull
Kamel,Camel
Räka,Shrimp
Fisk,Fish
