Swedish,English
hund,dog
katt,cat
kanin,rabbit
hamster,hamster
marsvin,guinea pig
häst,horse
höna,chicken
tupp,rooster
fågel,bird
mus,mouse
känguru,kangaroo
tiger,tiger
lejon,lion
leopard,leopard
apa,monkey
koala,koala
