Swedish,English
Hund,Dog
Katt,Cat
Kapybara,Capybata
Gorilla,Gorilla
Zebra,Zebra
Fladdermus,Bat
Mus,Mouse
Häst,Horse
Haj,Shark
Manet,Jellyfish
Elefant,Elephant
Noshörning,Rhinoceros
Sork,Vole
Kanin,Rabbit
Lemur,Lemur
