Swedish,English
Myra,Ant
Tiger,Tiger
Elefant,Elephant
Hund,Dog
Katt,Cat
Mus,Mouse
Råtta,Rat
Hare,Hare
Kanin,Rabbit
Marsvin,Guinea pig
Jaguar,Jaguar
Panter,Panther
Panda,Panda
Hamster,Hamster
Skalbagge,Beetle
