Swedish,English
Bäver,Beaver
Råtta,Rat
Katt,Cat
Älg,Moose
Kapybara,Capybara
Fladdermus,Bat
Spindel,Spider
Huggorm,Adder
Långa,Common ling
Sorgmantel,Mourning cloak
Storlom,Black-throated loon
Stenhumla,Red-tailed bumblebee
Papegoja,Parrot
Kondor,Condor
Stork,Stork
Lus,Louse
Silverstreckad pärlemorfjäril,Silver-washed fritillary
Känguru,Kangaroo
Kattuggla,Tawny owl
