Swedish,English
katt,cat
fiskmås,seagull
flodhäst,hippo
häst,horse
lemur,lemur
lejon,lion
tiger,tiger
pappegoja,parrot
varg,wolf
björn,bear
orm,snake
huggorm,viper
påfågel,peacock
mus,mouse
råtta,rat
giraff,giraffe
