Chinese,English
猪,pig
牛,ox
猫,cat
狗,dog
海豚,dolphin
马,horse
狮子,lion
虎,tiger
鲸鱼,whale
鱼,fish
企鹅,penguin
鸡,chicken
羊,sheep
长颈鹿,giraffe
猴,monkey
