Chinese,English
鼠,rat
牛,ox
虎,tiger
兔,rabbit
蛇,snake
马,horse
羊,sheep
猴,monkey
鸡,chicken
狗,dog
猪,pig
螃蟹,crab
蝎子,scorpion
狮子,lion
鱼,fish
