Swedish,English
Hund,Dog
Katt,Cat
Giraffe,Girafe
Elefant,Elephant
Apa,Ape
Gris,Pig
Ko,Cow
Får,Sheep
Bäver,Beaver
Leguan,Iguana
Fluga,Fly
Mygga,Mosquito
Hästa,Horse
Råtta,Rat
Mus,Mouse
