Swedish,English
hund,dog
katt,cat
råtta,rat
häst,horse
får,sheep
get,goat
myra,ant
rådjur,roe-deer
älg,moose
kronhjort,red deer
ekoxe,stag beetle
varg,wolf
lo,lynx
järv,wolverine
dovhjort,fallow deer
