Swedish,English
Hund,Dog
Katt,Cat
Giraff,Giraffe
Älg,Moose
Flodhäst,Hippopotamus
Noshörning,Rhinoceros
Räv,Fox
Rådjur,Roe deer
Råtta,Rat
Grävling,Badger
Mård,Pine marten
Iller,Ferret
Bäver,Beaver
Hermelin,Stoat
Häst,Horse
Ko,Cow
