Chinese,English
鹦鹉,Parrot
鲨鱼,Shark
猪,Pig
牛,Ox
羊,Sheep
鸡,Chicken
狗,Dog
鸭,Duck
猴子,Monkey
马,Horse
兔,Rabbit
猫,Cat
鹰,Eagle
熊,Bear
狮子,Lion
